x,y,PID output,PID P,PID I,PID D,PID delta_time
0,0,0.00,0,0,0,0
0.1,0.49,5.44,0.49,0.045888108,4.9,0.1
0.2,0.96,5.79,0.96,0.132877078,4.7,0.1
0.3,1.41,6.17,1.41,0.256483693,4.5,0.1
0.4,1.84,6.55,1.84,0.412509454,4.3,0.1
0.5,2.25,6.95,2.25,0.597022504,4.1,0.1
0.6,2.64,7.35,2.64,0.806340687,3.9,0.1
0.7,3.01,7.75,3.01,1.037015694,3.7,0.1
0.8,3.36,8.15,3.36,1.285818214,3.5,0.1
0.9,3.69,8.54,3.69,1.549724018,3.3,0.1
1,4,8.93,4,1.825900946,3.1,0.1
1.1,4.29,9.30,4.29,2.111696696,2.9,0.1
1.2,4.56,9.66,4.56,2.404627414,2.7,0.1
1.3,4.81,10.01,4.81,2.702366989,2.5,0.1
1.4,5.04,10.34,5.04,3.002737034,2.3,0.1
1.5,5.25,10.65,5.25,3.30369751,2.1,0.1
1.6,5.44,10.94,5.44,3.603337937,1.9,0.1
1.7,5.61,11.21,5.61,3.899869163,1.7,0.1
1.8,5.76,11.45,5.76,4.191615664,1.5,0.1
1.9,5.89,11.67,5.89,4.477008325,1.3,0.1
2,6,11.85,6,4.75457768,1.1,0.1
2.1,6.09,12.01,6.09,5.022947589,0.9,0.1
2.2,6.16,12.14,6.16,5.280829305,0.7,0.1
2.3,6.21,12.24,6.21,5.52701593,0.5,0.1
2.4,6.24,12.30,6.24,5.76037721,0.3,0.1
2.5,6.25,12.33,6.25,5.979854674,0.1,0.1
2.6,6.24,12.32,6.24,6.184457072,-0.1,0.1
2.7,6.21,12.28,6.21,6.373256104,-0.3,0.1
2.8,6.16,12.21,6.16,6.545382427,-0.5,0.1
2.9,6.09,12.09,6.09,6.700021908,-0.7,0.1
3,6,11.94,6,6.836412117,-0.9,0.1
3.1,5.89,11.74,5.89,6.953839044,-1.1,0.1
3.2,5.76,11.51,5.76,7.051634026,-1.3,0.1
3.3,5.61,11.24,5.61,7.129170864,-1.5,0.1
3.4,5.44,10.93,5.44,7.185863129,-1.7,0.1
3.5,5.25,10.57,5.25,7.221161633,-1.9,0.1
3.6,5.04,10.17,5.04,7.234552068,-2.1,0.1
3.7,4.81,9.74,4.81,7.225552788,-2.3,0.1
3.8,4.56,9.25,4.56,7.193712733,-2.5,0.1
3.9,4.29,8.73,4.29,7.138609493,-2.7,0.1
4,4,8.16,4,7.059847481,-2.9,0.1
4.1,3.69,7.55,3.69,6.957056235,-3.1,0.1
4.2,3.36,6.89,3.36,6.82988882,-3.3,0.1
4.3,3.01,6.19,3.01,6.678020333,-3.5,0.1
4.4,2.64,5.44,2.64,6.501146506,-3.7,0.1
4.5,2.25,4.65,2.25,6.298982393,-3.9,0.1
4.6,1.84,3.81,1.84,6.071261147,-4.1,0.1
4.7,1.41,2.93,1.41,5.817732866,-4.3,0.1
4.8,0.96,2.00,0.96,5.53816352,-4.5,0.1
4.9,0.49,1.02,0.49,5.232333939,-4.7,0.1
5,0,0.00,0,4.900038875,-4.9,0.1
